name,date,temp,prcp,wdsp
KIELCE,2021-08-02,16,0.28,4.6
KIELCE,2021-09-27,14,0.0,4.7
OLSZTYN,2021-06-20,27,0.0,6
OLSZTYN,2021-09-03,14,0.0,7.7
ZIELONA GORA,2021-02-02,0,0.0,4.7
ZIELONA GORA,2021-07-04,20,0.0,3
ZIELONA GORA,2021-11-24,5,0.0,4.4
GORZOW WLKP,2021-02-03,1,0.02,4.8
KATOWICE,2021-12-15,3,0.0,4.7
LUBLIN,2021-09-28,9,0.0,6.6
KIELCE,2021-10-30,10,0.0,4.8
ZIELONA GORA,2021-08-14,23,0.0,4.9
ZIELONA GORA,2021-09-24,14,0.03,8.5
GORZOW WLKP,2021-04-13,5,0.03,6.6
GORZOW WLKP,2021-07-06,23,0.02,4.5
SZCZECIN,2021-09-06,16,0.0,7.5
KATOWICE,2021-12-02,4,0.1,11.2
GDANSK,2021-10-08,8,0.0,5.3
LUBLIN,2021-10-11,6,0.0,4.8
LUBLIN,2021-10-28,7,0.0,3.9
OPOLE,2021-04-10,11,0.0,5.9
KIELCE,2021-08-14,22,0.0,2.8
ZIELONA GORA,2021-08-29,15,0.11,3.1
GORZOW WLKP,2021-06-06,21,0.0,3.8
SZCZECIN,2021-02-27,5,0.0,9.4
GDANSK,2021-09-28,12,0.0,10.8
GDANSK,2021-10-30,8,0.0,8.7
GDANSK,2021-12-08,-7,0.0,10.5
OPOLE,2021-06-06,19,0.0,3.2
KIELCE,2021-04-18,7,0.01,2.8
BIALYSTOK,2021-10-24,3,0.09,3.8
GDANSK,2021-09-10,19,0.0,6
ZIELONA GORA,2021-02-16,-1,0.18,4.6
ZIELONA GORA,2021-03-24,6,0.02,3.9
GORZOW WLKP,2021-09-30,11,0.07,4.9
KATOWICE,2021-10-10,4,0.0,5.1
KATOWICE,2021-12-13,-4,0.0,1.9
GDANSK,2021-03-28,7,0.0,8.7
LUBLIN,2021-08-18,16,0.0,7.8
OPOLE,2021-12-26,-9,0.0,2.4
ZIELONA GORA,2021-03-17,2,0.04,4.5
BIALYSTOK,2021-03-15,3,0.03,3.2
GDANSK,2021-09-14,16,0.0,3.4
GDANSK,2021-10-09,8,0.0,3.2
LUBLIN,2021-07-31,21,0.0,6
OPOLE,2021-09-25,17,0.0,3.3
KIELCE,2021-02-25,5,0.0,2.3
KIELCE,2021-11-21,7,0.01,5.3
OLSZTYN,2021-04-27,3,0.02,4.2
OLSZTYN,2021-12-06,-4,0.0,5.7
ZIELONA GORA,2021-01-09,-1,0.0,4.4
ZIELONA GORA,2021-10-29,9,0.0,5
GORZOW WLKP,2021-01-03,-1,0.0,7.6
GORZOW WLKP,2021-03-02,3,0.0,3.4
GORZOW WLKP,2021-07-16,23,0.0,4
SZCZECIN,2021-10-25,6,0.0,6.7
OPOLE,2021-08-28,14,0.21,2
KIELCE,2021-08-03,17,0.31,3.3
OLSZTYN,2021-08-09,19,0.19,3.7
GORZOW WLKP,2021-10-29,8,0.0,4.2
GORZOW WLKP,2021-11-21,7,0.0,5.6
BIALYSTOK,2021-07-25,21,0.0,3.4
BIALYSTOK,2021-09-07,11,0.0,0.8
SZCZECIN,2021-05-12,14,0.0,6.2
